Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;yes;0
0;Grundnutzen;2;no;-0.679196137
1;anztourenvorhaupttour;1;yes;0
1;anztourenvorhaupttour;2;no;-0.214773601
2;anztourennachhaupttour;1;yes;0
2;anztourennachhaupttour;2;no;-0.129872055
3;0;1;yes;0
3;0;2;no;0
4;taghat1tour;1;yes;0
4;taghat1tour;2;no;0.2792415881
5;taghat2touren;1;yes;0
5;taghat2touren;2;no;0.0696609427
6;taghattakt;1;yes;0
6;taghattakt;2;no;-0.167112402
7;tourhat1akt;1;yes;0
7;tourhat1akt;2;no;-0.195655449
8;alter_10bis17;1;yes;0
8;alter_10bis17;2;no;-0.936231054
9;0;1;yes;0
9;0;2;no;0
10;tourtyp_work;1;yes;0
10;tourtyp_work;2;no;-0.300813549
11;tag_sa;1;yes;0
11;tag_sa;2;no;1.4476530715
12;tag_so;1;yes;0
12;tag_so;2;no;1.8130715118
13;0;1;yes;0
13;0;2;no;0
14;dauer_akt_in_tour_2bis4std;1;yes;0
14;dauer_akt_in_tour_2bis4std;2;no;0.3373795261
15;dauer_akt_in_tour_4bis6std;1;yes;0
15;dauer_akt_in_tour_4bis6std;2;no;-0.560185603
16;dauer_akt_in_tour_6bis8std;1;yes;0
16;dauer_akt_in_tour_6bis8std;2;no;-0.529689548
17;dauer_akt_in_tour_8bis10std;1;yes;0
17;dauer_akt_in_tour_8bis10std;2;no;-1.019208134
18;dauer_akt_in_tour_10bis12std;1;yes;0
18;dauer_akt_in_tour_10bis12std;2;no;-1.039018559
19;0;1;yes;0
19;0;2;no;0
20;dauer_akt_vorht_tag_1bis120;1;yes;0
20;dauer_akt_vorht_tag_1bis120;2;no;0.8459707713
